direction,age_group,state,state_name,abbrev,rank_age_specific,rank_all_ages,rank_shift,share_age,share_all,rel_ratio
IN,65_PLUS,05,Arkansas,AR,33,36,3,0.008628,0.008614,1.0017
IN,65_PLUS,06,California,CA,4,3,-1,0.051328,0.058687,0.8746
IN,65_PLUS,08,Colorado,CO,17,15,-2,0.022227,0.026382,0.8425
IN,65_PLUS,09,Connecticut,CT,30,30,0,0.009958,0.011976,0.8315
IN,65_PLUS,10,Delaware,DE,41,45,4,0.00616,0.005014,1.2287
IN,65_PLUS,12,Florida,FL,1,1,0,0.146943,0.080286,1.8302
IN,65_PLUS,13,Georgia,GA,7,7,0,0.034183,0.035212,0.9708
IN,65_PLUS,15,Hawaii,HI,44,38,-6,0.005187,0.00723,0.7174
IN,65_PLUS,16,Idaho,ID,27,32,5,0.013501,0.010419,1.2958
IN,65_PLUS,17,Illinois,IL,19,11,-8,0.020916,0.028987,0.7216
IN,65_PLUS,18,Indiana,IN,23,21,-2,0.017116,0.018558,0.9223
IN,65_PLUS,19,Iowa,IA,38,35,-3,0.007205,0.008719,0.8264
IN,65_PLUS,20,Kansas,KS,31,31,0,0.00917,0.011803,0.7769
IN,65_PLUS,21,Kentucky,KY,29,29,0,0.012211,0.013196,0.9254
IN,65_PLUS,22,Louisiana,LA,40,33,-7,0.006472,0.009635,0.6717
IN,65_PLUS,23,Maine,ME,34,43,9,0.007935,0.005353,1.4825
IN,65_PLUS,24,Maryland,MD,21,17,-4,0.017355,0.022764,0.7624
IN,65_PLUS,25,Massachusetts,MA,20,16,-4,0.017973,0.022765,0.7895
IN,65_PLUS,26,Michigan,MI,16,20,4,0.022593,0.018937,1.1931
IN,65_PLUS,27,Minnesota,MN,24,26,2,0.015738,0.014845,1.0602
IN,65_PLUS,28,Mississippi,MS,32,34,2,0.008985,0.008836,1.0168
IN,65_PLUS,29,Missouri,MO,26,19,-7,0.014172,0.019877,0.713
IN,65_PLUS,30,Montana,MT,42,42,0,0.006132,0.005381,1.1397
IN,65_PLUS,31,Nebraska,NE,39,40,1,0.006623,0.00668,0.9915
IN,65_PLUS,32,Nevada,NV,13,22,9,0.023842,0.018174,1.3119
IN,65_PLUS,33,New Hampshire,NH,37,39,2,0.007706,0.006919,1.1138
IN,65_PLUS,34,New Jersey,NJ,18,18,0,0.021245,0.021342,0.9955
IN,65_PLUS,35,New Mexico,NM,35,37,2,0.007797,0.007755,1.0054
IN,65_PLUS,36,New York,NY,15,4,-11,0.023406,0.042999,0.5443
IN,65_PLUS,37,North Carolina,NC,5,5,0,0.042867,0.04158,1.031
IN,65_PLUS,38,North Dakota,ND,46,47,1,0.003208,0.003987,0.8045
IN,65_PLUS,39,Ohio,OH,10,12,2,0.029526,0.028056,1.0524
IN,65_PLUS,40,Oklahoma,OK,28,27,-1,0.012619,0.014082,0.8961
IN,65_PLUS,41,Oregon,OR,14,23,9,0.023574,0.017645,1.336
