state,IN_COUNT_18_24,OUT_COUNT_18_24,POP_AGE_18_24,NET_COUNT_18_24,IN_RATE_18_24,OUT_RATE_18_24,NET_RATE_18_24,IN_COUNT_25_34,OUT_COUNT_25_34,POP_AGE_25_34,NET_COUNT_25_34,IN_RATE_25_34,OUT_RATE_25_34,NET_RATE_25_34,IN_COUNT_35_54,OUT_COUNT_35_54,POP_AGE_35_54,NET_COUNT_35_54,IN_RATE_35_54,OUT_RATE_35_54,NET_RATE_35_54,IN_COUNT_55_64,OUT_COUNT_55_64,POP_AGE_55_64,NET_COUNT_55_64,IN_RATE_55_64,OUT_RATE_55_64,NET_RATE_55_64,IN_COUNT_65_PLUS,OUT_COUNT_65_PLUS,POP_AGE_65_PLUS,NET_COUNT_65_PLUS,IN_RATE_65_PLUS,OUT_RATE_65_PLUS,NET_RATE_65_PLUS,state_name,POP,MED_RENT,MED_HOMEVAL,COST_BURDEN_ALL,VACANCY_RATE,TRANSIT_SHARE,BA_PLUS,LAND_AREA,POP_DENS,GDP,RPP,REAL_PCPI,UNEMP,PRIV_EMP,PRIV_ESTAB,PRIV_AVG_PAY,PERMITS,ELEC_PRICE_TOT,COMMUTE_MED,UNINSURED,CRIME_VIOLENT_RATE,NRI_RISK_INDEX
25,47998,51997,707064,-3999,67.88352963805256,73.53931185861535,-5.655782220562778,44663,56535,996756,-11872,44.80835831437182,56.71899642440076,-11.910638110028934,25470,28566,1805181,-3096,14.109388476834178,15.824451952463493,-1.7150634756293137,6769,13053,936463,-6284,7.22826208830461,13.93861796995717,-6.710355881652559,11542,14480,1335942,-2938,8.63959662919498,10.838793899735169,-2.1991972705401883,Massachusetts,7136171,1848,607400,35.1867125779736,3.6023695857710036,7.7756484925913405,48.273648090727825,7800.06,914.886680358869,628786.9,105.757,71629,4.0,3198628,276202,97786.6645133476,14338,23.94,27.862039707731647,2.8,314.7,92.28
26,31362,37122,934316,-5760,33.566801810094226,39.73173958275358,-6.164937772659357,31260,33332,1344657,-2072,23.247564248726626,24.788477656383748,-1.54091340765712,26306,21866,2446263,4440,10.753545305635576,8.938531956702938,1.8150133489326372,10063,10167,1323609,-104,7.602698379959641,7.681271432877836,-0.07857305291819563,14509,16710,1987859,-2201,7.2988074103847405,8.406028797817148,-1.1072213874324084,Michigan,10140459,1168,254200,27.073636482243643,5.657480010503568,0.9685080214237949,33.32604470496402,56538.9,179.3536662368741,562177.6,96.217,53569,4.7,3824885,292907,68394.86937489624,21750,14.16,21.712001163329955,5.1,434.3,82.07
27,26067,36701,519877,-10634,50.14070635938886,70.5955447153846,-20.454838355995744,27948,24178,749154,3770,37.3060812596609,32.273738109921325,5.032343149739573,18864,17851,1463382,1013,12.89068746233041,12.198455358887836,0.6922321034425735,5988,8182,713641,-2194,8.390773512172087,11.465148442984638,-3.074374930812551,10107,11076,1056273,-969,9.568549039878896,10.485925513574616,-0.9173764736957207,Minnesota,5793151,1291,344600,27.220130639973394,5.674530902189007,1.7604840408879754,40.03043352710015,79626.74,72.75383872302193,399253.3,98.621,62039,3.0,2541147,205850,74792.14498688978,20913,12.35,20.411778198889067,5.1,256.6,76.72
28,13916,12085,287446,1831,48.41257140471602,42.04267932063762,6.369892084078401,13010,13694,359127,-684,36.22673873030989,38.131357430658234,-1.9046187003483448,14811,11647,733071,3164,20.20404571999165,15.887956282542891,4.31608943744876,5455,3207,360057,2248,15.150378967774547,8.906923070513836,6.243455897260712,5770,2752,531347,3018,10.859193709572088,5.179289616766445,5.679904092805643,Mississippi,2943045,990,186500,26.26222709464685,7.109752411456206,0.26292934311434585,27.017466205418224,46923.27,62.72037306862885,123419.3,86.953,48465,3.1,936506,85365,50272.504188974766,7883,10.93,22.566370155840573,9.7,210.5,71.06
29,37140,28944,575388,8196,64.54774864960687,50.30344741287618,14.244301236730694,35981,31643,817633,4338,44.00629622336672,38.70073737239079,5.305558850975927,26455,30130,1537298,-3675,17.20876498896115,19.599322967960667,-2.3905579789995173,10459,11361,779145,-902,13.423688787067876,14.581368038041699,-1.1576792509738238,9101,10459,1169201,-1358,7.783948183417564,8.94542512365282,-1.1614769402352547,Missouri,6245466,1067,254400,26.098100688034382,5.073448611527355,0.9966775232994122,33.47160780028801,68741.52,90.85434828906897,353307.4,90.817,57850,3.6,2482938,233602,64752.46240099431,18464,11.06,21.598668974275967,7.7,462.0,80.09
30,11632,8671,103469,2961,112.42014516425209,83.8028781567426,28.617267007509497,7718,9041,142328,-1323,54.22685627564499,63.5222865493789,-9.29543027373391,6297,6341,281578,-44,22.363252810944036,22.519515018929035,-0.15626220798499882,2664,2875,138420,-211,19.245773732119638,20.77011992486635,-1.524346192746713,3938,3256,241423,682,16.311619025527808,13.48670176412355,2.8249172614042575,Montana,1137233,1177,425400,27.920320865877297,4.898978926786878,0.824678048167569,36.33522405626632,145545.8,7.813574833488841,60605.7,94.645,59203,3.0,426650,61654,59628.25350990273,5367,10.83,16.548566343477408,8.8,423.5,67.09
31,12995,11401,199010,1594,65.29822621978795,57.2885784633938,8.00964775639415,9497,11790,261403,-2293,36.33087608022861,45.10277234767772,-8.771896267449112,10484,11122,488134,-638,21.47770898974462,22.784727144595543,-1.307018154850922,2805,4041,229218,-1236,12.2372588540167,17.629505536214435,-5.392246682197733,4253,4447,348052,-194,12.219438474710675,12.776826451219932,-0.5573879765092572,Nebraska,2005466,1102,263100,27.777750809454233,3.7119229561394325,0.4669316280066324,35.358872842847525,76824.17,26.104623063288546,148102.8,90.103,65297,2.8,853147,73388,60997.53985303822,10479,9.07,18.066905484940506,7.1,220.5,70.12
32,14404,15770,262085,-1366,54.959268939466206,60.171318465383365,-5.212049525917164,29431,21675,471024,7756,62.483015727436396,46.01676347702028,16.466252250416115,37185,19452,868890,17733,42.795981079308085,22.387183648102752,20.408797431205333,12597,8149,402412,4448,31.303738457103666,20.25039014741111,11.053348309692554,15311,10159,575351,5152,26.611581452017987,17.65704761093663,8.954533841081357,Nevada,3267467,1709,455500,37.74820913291765,7.181307151329179,2.500833315939642,28.528910629047964,109781.18,29.763453080027016,207351.9,99.979,56503,5.6,1377101,106439,65772.04144067864,19994,11.47,23.687316438616264,11.4,402.0,95.56
33,9299,11785,122828,-2486,75.70749340541245,95.94717816784447,-20.23968476243202,12231,10431,177448,1800,68.92723502096389,58.78341824083675,10.143816780127136,10038,6520,346391,3518,28.978812959921015,18.822659942088563,10.15615301783245,4951,3984,210964,967,23.468459073586015,18.884738628391574,4.583720445194441,4949,3574,303232,1375,16.32083685099198,11.786355002110595,4.534481848881384,New Hampshire,1409032,1558,458800,30.466155822172848,3.810601202647276,0.5570916131256672,41.51834957395464,8952.65,157.3871423544984,94926.0,104.165,64632,2.6,604412,64226,79034.07843159964,4965,20.6,23.582164083083143,4.5,110.1,78.79
34,23016,60267,800206,-37251,28.762593632139723,75.31435655318755,-46.55176292104783,44334,46748,1234980,-2414,35.898557061652824,37.853244586956876,-1.9546875253040534,36574,44766,2471493,-8192,14.798342540318746,18.112938211841993,-3.314595671523245,10345,15547,1243932,-5202,8.316370991340362,12.498271609702138,-4.181900618361776,13643,19722,1706665,-6079,7.993953119094843,11.55587066002994,-3.5619175409350987,New Jersey,9500851,1800,496000,35.84687004083586,3.6995605453039406,9.732897766918885,44.54710555845139,7354.22,1291.8910503085303,675897.6,108.805,63142,4.5,3678973,320477,83687.84027961064,34932,16.29,27.781894440699418,7.7,217.7,94.43
35,9723,11370,200903,-1647,48.39648984833477,56.594475941125815,-8.197986092791048,13729,10497,274996,3232,49.92436253618234,38.17146431220818,11.752898223974167,13020,14150,526488,-1130,24.729908373980034,26.876206105362325,-2.1462977313822917,5002,4823,254799,179,19.631160247881663,18.928645716819926,0.7025145310617389,5007,8172,429233,-3165,11.664993138924547,19.038610731234552,-7.373617592310004,New Mexico,2130256,1117,279900,26.729523787297104,6.816307183565918,0.46571057811841604,31.783097590332247,121298.15,17.56214748534912,119044.5,92.212,51121,4.1,686080,64556,58896.61925868703,7572,9.18,20.37669504496678,10.1,717.1,84.24
