model_id,dv,ivs,n_ivs,adj_r2,aic,bic,max_vif,f_stat,f_p,max_cooks_d,n_influential
M18_2IV_NRI_RISK_INDEX+VACANCY_RATE,REL_IN_18_24,NRI_RISK_INDEX + VACANCY_RATE,2,0.3097,-19.83,-14.09,1.12,11.9896,6.2e-05,0.1588,3
M18_3IV_COMMUTE_MED+NRI_RISK_INDEX+BA_PLUS,REL_IN_18_24,COMMUTE_MED + NRI_RISK_INDEX + BA_PLUS,3,0.309,-18.86,-11.21,1.98,8.3038,0.000161,0.2015,3
M18_3IV_COMMUTE_MED+NRI_RISK_INDEX+POP_DENS,REL_IN_18_24,COMMUTE_MED + NRI_RISK_INDEX + POP_DENS,3,0.3082,-18.8,-11.15,2.2,8.2764,0.000165,0.819,6
M18_3IV_NRI_RISK_INDEX+PERMITS+VACANCY_RATE,REL_IN_18_24,NRI_RISK_INDEX + PERMITS + VACANCY_RATE,3,0.3063,-18.66,-11.01,1.34,8.2114,0.000175,0.2211,3
M18_2IV_MED_RENT+BA_PLUS,REL_IN_18_24,MED_RENT + BA_PLUS,2,0.3033,-19.37,-13.63,1.86,11.6645,7.7e-05,0.2468,4
M18_3IV_NRI_RISK_INDEX+VACANCY_RATE+TRANSIT_SHARE,REL_IN_18_24,NRI_RISK_INDEX + VACANCY_RATE + TRANSIT_SHARE,3,0.3026,-18.4,-10.75,1.55,8.0875,0.000197,0.3643,3
M18_3IV_MED_RENT+BA_PLUS+TRANSIT_SHARE,REL_IN_18_24,MED_RENT + BA_PLUS + TRANSIT_SHARE,3,0.3025,-18.39,-10.74,1.98,8.0825,0.000198,0.2067,5
M18_3IV_COMMUTE_MED+MED_RENT+PRIV_AVG_PAY,REL_IN_18_24,COMMUTE_MED + MED_RENT + PRIV_AVG_PAY,3,0.301,-18.28,-10.63,2.56,8.0331,0.000207,0.2802,6
M18_3IV_NRI_RISK_INDEX+VACANCY_RATE+BA_PLUS,REL_IN_18_24,NRI_RISK_INDEX + VACANCY_RATE + BA_PLUS,3,0.2971,-18.0,-10.36,1.72,7.9034,0.000235,0.1444,3
M18_3IV_NRI_RISK_INDEX+VACANCY_RATE+PRIV_AVG_PAY,REL_IN_18_24,NRI_RISK_INDEX + VACANCY_RATE + PRIV_AVG_PAY,3,0.2965,-17.96,-10.31,2.17,7.8842,0.000239,0.1189,4
M18_3IV_NRI_RISK_INDEX+VACANCY_RATE+POP_DENS,REL_IN_18_24,NRI_RISK_INDEX + VACANCY_RATE + POP_DENS,3,0.295,-17.86,-10.21,1.51,7.8353,0.00025,0.6155,5
M18_3IV_MED_RENT+BA_PLUS+PRIV_AVG_PAY,REL_IN_18_24,MED_RENT + BA_PLUS + PRIV_AVG_PAY,3,0.2907,-17.55,-9.9,2.83,7.6941,0.000287,0.3127,5
M18_3IV_COMMUTE_MED+PERMITS+BA_PLUS,REL_IN_18_24,COMMUTE_MED + PERMITS + BA_PLUS,3,0.2902,-17.52,-9.87,1.44,7.6788,0.000291,0.2026,4
M18_3IV_MED_RENT+BA_PLUS+POP_DENS,REL_IN_18_24,MED_RENT + BA_PLUS + POP_DENS,3,0.2899,-17.5,-9.85,2.05,7.6695,0.000293,0.4819,7
M18_3IV_NRI_RISK_INDEX+PERMITS+TRANSIT_SHARE,REL_IN_18_24,NRI_RISK_INDEX + PERMITS + TRANSIT_SHARE,3,0.2873,-17.31,-9.66,1.38,7.5841,0.000319,0.2377,3
M18_3IV_NRI_RISK_INDEX+MED_RENT+PRIV_AVG_PAY,REL_IN_18_24,NRI_RISK_INDEX + MED_RENT + PRIV_AVG_PAY,3,0.2835,-17.04,-9.4,2.83,7.4617,0.000359,0.3934,5
M18_3IV_NRI_RISK_INDEX+MED_RENT+TRANSIT_SHARE,REL_IN_18_24,NRI_RISK_INDEX + MED_RENT + TRANSIT_SHARE,3,0.2822,-16.96,-9.31,1.88,7.4229,0.000372,0.6935,2
M18_3IV_COMMUTE_MED+NRI_RISK_INDEX+PERMITS,REL_IN_18_24,COMMUTE_MED + NRI_RISK_INDEX + PERMITS,3,0.2787,-16.72,-9.07,1.75,7.3125,0.000415,0.1784,4
M18_3IV_COMMUTE_MED+BA_PLUS+POP_DENS,REL_IN_18_24,COMMUTE_MED + BA_PLUS + POP_DENS,3,0.2773,-16.61,-8.97,1.75,7.2665,0.000434,0.7622,6
M18_3IV_NRI_RISK_INDEX+PERMITS+PRIV_AVG_PAY,REL_IN_18_24,NRI_RISK_INDEX + PERMITS + PRIV_AVG_PAY,3,0.2719,-16.25,-8.6,1.52,7.1009,0.00051,0.2211,3
M18_2IV_NRI_RISK_INDEX+TRANSIT_SHARE,REL_IN_18_24,NRI_RISK_INDEX + TRANSIT_SHARE,2,0.2693,-16.99,-11.25,1.16,10.0293,0.000236,0.1353,4
M18_3IV_COMMUTE_MED+PERMITS+PRIV_AVG_PAY,REL_IN_18_24,COMMUTE_MED + PERMITS + PRIV_AVG_PAY,3,0.2692,-16.06,-8.41,1.67,7.0164,0.000554,0.1902,4
M18_2IV_COMMUTE_MED+BA_PLUS,REL_IN_18_24,COMMUTE_MED + BA_PLUS,2,0.2692,-16.98,-11.24,1.22,10.0233,0.000237,0.2773,3
M18_3IV_COMMUTE_MED+PERMITS+POP_DENS,REL_IN_18_24,COMMUTE_MED + PERMITS + POP_DENS,3,0.2683,-16.0,-8.35,1.88,6.9898,0.000569,0.7589,7
M18_2IV_COMMUTE_MED+NRI_RISK_INDEX,REL_IN_18_24,COMMUTE_MED + NRI_RISK_INDEX,2,0.265,-16.69,-10.96,1.68,9.8322,0.000271,0.2458,4
M18_3IV_NRI_RISK_INDEX+PERMITS+BA_PLUS,REL_IN_18_24,NRI_RISK_INDEX + PERMITS + BA_PLUS,3,0.2639,-15.7,-8.05,1.22,6.8563,0.000649,0.2244,3
M18_3IV_COMMUTE_MED+MED_RENT+POP_DENS,REL_IN_18_24,COMMUTE_MED + MED_RENT + POP_DENS,3,0.2619,-15.56,-7.91,2.1,6.7957,0.00069,0.774,6
M18_2IV_NRI_RISK_INDEX+PERMITS,REL_IN_18_24,NRI_RISK_INDEX + PERMITS,2,0.2613,-16.44,-10.71,1.17,9.6651,0.000305,0.2672,3
M18_3IV_NRI_RISK_INDEX+BA_PLUS+TRANSIT_SHARE,REL_IN_18_24,NRI_RISK_INDEX + BA_PLUS + TRANSIT_SHARE,3,0.2559,-15.16,-7.51,1.4,6.6181,0.000823,0.1309,3
M18_3IV_COMMUTE_MED+POP_DENS+PRIV_AVG_PAY,REL_IN_18_24,COMMUTE_MED + POP_DENS + PRIV_AVG_PAY,3,0.2547,-15.08,-7.43,1.88,6.5821,0.000854,0.7439,5
